
Run on 2025-05-27 09:06:12:
Diameter_of_vortex.txt not found.
r1_dt_40_C001H001S0001000001.jpg: 1.42 cm
r1_dt_40_C001H001S0001000002.jpg: 1.41 cm
r1_dt_40_C001H001S0001000003.jpg: 1.40 cm
r1_dt_40_C001H001S0001000004.jpg: 1.40 cm
r1_dt_40_C001H001S0001000005.jpg: 1.40 cm
r1_dt_40_C001H001S0001000006.jpg: 1.40 cm
r1_dt_40_C001H001S0001000007.jpg: 1.40 cm
r1_dt_40_C001H001S0001000008.jpg: 1.39 cm
r1_dt_40_C001H001S0001000009.jpg: 1.38 cm
r1_dt_40_C001H001S0001000010.jpg: 1.38 cm
r1_dt_40_C001H001S0001000011.jpg: 1.38 cm
r1_dt_40_C001H001S0001000012.jpg: 1.38 cm
r1_dt_40_C001H001S0001000013.jpg: 1.37 cm
r1_dt_40_C001H001S0001000014.jpg: 1.39 cm
r1_dt_40_C001H001S0001000015.jpg: 1.40 cm
r1_dt_40_C001H001S0001000016.jpg: 1.40 cm
r1_dt_40_C001H001S0001000017.jpg: 1.39 cm
r1_dt_40_C001H001S0001000018.jpg: 1.37 cm
r1_dt_40_C001H001S0001000019.jpg: 1.36 cm
r1_dt_40_C001H001S0001000020.jpg: 1.36 cm
r1_dt_40_C001H001S0001000021.jpg: 1.37 cm
r1_dt_40_C001H001S0001000022.jpg: 1.36 cm
r1_dt_40_C001H001S0001000023.jpg: 1.36 cm
r1_dt_40_C001H001S0001000024.jpg: 1.36 cm
r1_dt_40_C001H001S0001000025.jpg: 1.36 cm
r1_dt_40_C001H001S0001000026.jpg: 1.36 cm
r1_dt_40_C001H001S0001000027.jpg: 1.36 cm
r1_dt_40_C001H001S0001000028.jpg: 1.36 cm
r1_dt_40_C001H001S0001000029.jpg: 1.36 cm
r1_dt_40_C001H001S0001000030.jpg: 1.37 cm
r1_dt_40_C001H001S0001000031.jpg: 1.39 cm
r1_dt_40_C001H001S0001000032.jpg: 1.39 cm
r1_dt_40_C001H001S0001000033.jpg: 1.37 cm
r1_dt_40_C001H001S0001000034.jpg: 1.36 cm
r1_dt_40_C001H001S0001000035.jpg: 1.36 cm
r1_dt_40_C001H001S0001000036.jpg: 1.35 cm
r1_dt_40_C001H001S0001000037.jpg: 1.35 cm
r1_dt_40_C001H001S0001000038.jpg: 1.35 cm
r1_dt_40_C001H001S0001000039.jpg: 1.35 cm
r1_dt_40_C001H001S0001000040.jpg: 1.35 cm
r1_dt_40_C001H001S0001000041.jpg: 1.35 cm
r1_dt_40_C001H001S0001000042.jpg: 1.36 cm
