Time(s),PositionX(px),Speed(cm/s),SmoothedSpeed(cm/s)
0.000,1086,0.0000,3.0498
0.002,1084,4.4170,3.3127
0.004,1080,8.8339,3.9437
0.006,1077,6.6254,4.9428
0.008,1074,6.6254,5.3635
0.010,1076,-4.4170,7.4668
0.012,1068,17.6678,5.8893
0.014,1064,8.8339,5.1531
0.016,1067,-6.6254,5.0480
0.018,1064,6.6254,2.9446
0.020,1061,6.6254,5.4686
0.022,1056,11.0424,8.0978
0.024,1054,4.4170,7.2564
0.026,1051,6.6254,12.0941
0.028,1045,13.2509,7.5719
0.030,1038,15.4594,4.5221
0.032,1046,-17.6678,-0.1052
0.034,1045,2.2085,-1.4723
0.036,1044,2.2085,-0.9465
0.038,1040,8.8339,6.2048
0.040,1040,0.0000,5.4686
0.042,1036,8.8339,7.2564
0.044,1033,6.6254,4.3118
0.046,1030,6.6254,4.7325
0.048,1032,-4.4170,2.5240
0.050,1028,8.8339,6.5203
0.052,1025,6.6254,6.6254
0.054,1018,15.4594,5.4686
0.056,1020,-4.4170,8.9391
0.058,1017,6.6254,13.4612
0.060,1003,30.9187,8.7288
0.062,1001,4.4170,7.2564
0.064,1008,-15.4594,1.4723
0.066,1006,4.4170,-2.8395
0.068,1003,6.6254,2.5240
0.070,1000,6.6254,8.0978
0.072,998,4.4170,6.7306
0.074,994,8.8339,6.5203
0.076,991,6.6254,7.2564
0.078,988,6.6254,7.5719
0.080,984,8.8339,7.4668
0.082,981,6.6254,7.8874
0.084,977,8.8339,7.2564
0.086,974,6.6254,7.4668
0.088,971,6.6254,8.7288
0.090,966,11.0424,7.7823
0.092,962,8.8339,9.4649
0.094,960,4.4170,7.3616
0.096,955,11.0424,4.5221
0.098,956,-2.2085,3.9963
0.100,954,4.4170,4.1015
0.102,951,6.6254,2.7343
0.104,949,4.4170,6.9409
0.106,947,4.4170,7.0461
0.108,941,13.2509,7.6771
0.110,939,4.4170,6.8358
0.112,936,6.6254,6.8358
0.114,935,2.2085,3.2601
0.116,931,8.8339,4.9428
0.118,931,0.0000,6.9409
0.120,925,13.2509,9.1494
0.122,920,11.0424,9.1494
0.124,917,6.6254,7.8874
0.126,915,4.4170,4.6273
0.128,915,0.0000,2.2085
0.130,912,6.6254,3.2601
0.132,912,0.0000,3.6808
0.134,908,8.8339,5.0480
0.136,907,2.2085,4.7325
0.138,904,6.6254,5.1531
0.140,902,4.4170,4.7325
0.142,900,4.4170,6.3099
0.144,896,8.8339,7.0461
0.146,893,6.6254,5.7841
0.148,890,6.6254,6.0996
0.150,890,0.0000,5.7841
0.152,885,11.0424,3.7860
0.154,883,4.4170,7.0461
0.156,883,0.0000,5.5738
0.158,876,15.4594,2.6291
0.160,880,-8.8339,2.6291
0.162,878,4.4170,1.1568
0.164,877,2.2085,-0.4207
0.166,877,0.0000,4.5221
0.168,874,6.6254,4.2066
0.170,871,6.6254,5.1531
0.172,869,4.4170,5.8893
0.174,867,4.4170,5.4686
0.176,864,6.6254,5.3635
0.178,861,6.6254,6.0996
0.180,859,4.4170,5.7841
0.182,856,6.6254,5.3635
0.184,854,4.4170,5.5738
0.186,851,6.6254,6.4151
0.188,848,6.6254,5.9944
0.190,845,6.6254,6.6254
0.192,843,4.4170,5.4686
0.194,840,6.6254,5.0480
0.196,839,2.2085,3.4705
0.198,837,4.4170,2.8395
0.200,837,0.0000,1.9981
0.202,835,4.4170,4.2066
0.204,833,4.4170,4.7325
0.206,829,8.8339,5.4686
0.208,828,2.2085,5.2583
